REGIONAL;GERENTE;GRUPO ECONOMICO;NOME SIGA;Inscritos ENEM 25.1;Inscritos Total CPF Único;Inscritos EX ENEM;Adiantamento da VCP - Nov;Adiantamento da VCP - Jan;TOP 25;Possui time comercial;Quantidade time comercial;% do CE nas matrículas do Polo;Aportes;Expectativa Matricula Enem;META 100% ONLINE;REAL 25.1;% META;META HIBRIDO;REAL 25.1;% META;META PRESENCIAL;REAL 25.1;% META;META HIBRIDO LAB;REAL 25.1;% META;META TOTAL;REAL 25.1;% META
NORDESTE;TATIANE ALMEIDA;GE6-GERSON SOARES CHAVES;[ANHANGUERA/UNOPAR] - BATURITE/CE - I(13906456);193;209;16;SIM; SIM;NÃO;SIM;5;0%;0;684;74;52;70%;0;0;0%;0;0;0%;2;1;45%;76;53;70%
NORDESTE;TATIANE ALMEIDA;GE2-DANYELLE CAETANO;[ANHANGUERA/UNOPAR] - BAYEUX/PB - I(1059560);458;623;165;SIM; NÃO;NÃO;NÃO;0;33%;0;1;109;48;44%;113;22;19%;0;0;0%;53;26;49%;275;96;35%
SP INTERIOR;VICTOR CARVAS;GI-ADRIANA ARRUDA DE MOURA TORRES;[ANHANGUERA/UNOPAR] - BEBEDOURO/SP - I(7335);171;557;386;SIM; NÃO;NÃO;SIM;1;0%;1;0;266;108;41%;117;53;45%;0;0;0%;69;33;48%;452;194;43%
NORDESTE;TATIANE ALMEIDA;GE6-GERSON SOARES CHAVES;[ANHANGUERA/UNOPAR] - BEBERIBE/CE - I(15074677);0;16;16;SIM; NÃO;NÃO;SIM;5;0%;0;0;29;5;17%;0;0;0%;0;0;0%;0;0;0%;29;5;17%
SUDESTE;CONSUELO NOBREGA;GI-RONALDO ANTONIO DE ANGELIS;[ANHANGUERA/UNOPAR] - BELO HORIZONTE/MG - III(1059148);759;603;-156;SIM; NÃO;NÃO;SIM;2;2%;1;2;136;86;63%;80;49;61%;0;0;0%;52;39;75%;268;176;66%
SUDESTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - BELO HORIZONTE/MG - XXIII(15262149);0;4;4;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
SUDESTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - BELO HORIZONTE/MG - XXIV(15262151);0;4;4;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
SUDESTE;MARCOS MALACARNE;GE5-REGINALDO MARCELINO DE OLIVEIRA;[ANHANGUERA/UNOPAR] - BELO VALE/MG - I(13935485);116;181;65;SIM; NÃO;NÃO;SIM;2;0%;0;0;47;30;64%;0;0;0%;0;0;0%;1;0;0%;48;30;62%
CENTRO OESTE/NORTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - BELTERRA/PA - I(14998515);0;28;28;SIM; NÃO;NÃO;NÃO;0;33%;0;0;0;7;0%;0;0;0%;0;0;0%;0;0;0%;0;7;0%
SUDESTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - BERILO/MG - I(15103211);0;0;0;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
SUL;ANTONIO FERNANDES;GE9-LEANDRO MORENO GARCIA;[ANHANGUERA/UNOPAR] - BLUMENAU/SC - I(12692236);531;765;234;SIM; NÃO;SIM;NÃO;0;0%;1;0;378;99;26%;15;6;40%;0;0;0%;99;16;16%;492;121;25%
SUDESTE;CONSUELO NOBREGA;GE15-EVANDO LOPES;[ANHANGUERA/UNOPAR] - BOA ESPERANCA/MG - I(13905378);176;151;-25;SIM; NÃO;SIM;NÃO;0;0%;1;9;50;19;38%;0;0;0%;0;0;0%;7;0;0%;58;21;37%
